date,menu,quantity,unit_price,channel,note
2026-05-04,카페라테,12,5000,배달,
2026-05-05,아메리카노,15,3500,매장,
2026-05-06,아메리카노,16,3500,매장,재고 확인
2026-05-07,허브티,9,4500,배달,
2026-05-08,크루아상,20,3800,매장,
2026-05-09,아이스 아메리카노,25,4000,매장,주말 방문
2026-05-10,아이스 아메리카노,22,4000,매장,
2026-05-11,카페라테,12,5000,배달,
2026-05-12,아메리카노,15,3500,매장,
2026-05-13,아메리카노,16,3500,매장,재고 확인
2026-05-14,허브티,9,4500,배달,
2026-05-15,크루아상,20,3800,매장,
2026-05-16,아이스 아메리카노,25,4000,매장,주말 방문
2026-05-17,아이스 아메리카노,22,4000,매장,
2026-05-18,카페라테,12,5000,배달,
2026-05-19,아메리카노,15,3500,매장,
2026-05-20,아메리카노,16,3500,매장,재고 확인
2026-05-21,허브티,9,4500,배달,
2026-05-22,크루아상,20,3800,매장,
2026-05-23,아이스 아메리카노,25,4000,매장,주말 방문
2026-05-24,아이스 아메리카노,22,4000,매장,
2026-05-25,카페라테,12,5000,배달,
2026-05-26,아메리카노,15,3500,매장,
2026-05-27,아메리카노,16,3500,매장,재고 확인
2026-05-28,허브티,9,4500,배달,
2026-05-29,크루아상,20,3800,매장,
2026-05-30,아이스 아메리카노,25,4000,매장,주말 방문
2026-05-31,아이스 아메리카노,22,4000,매장,
2026-06-01,카페라테,12,5000,배달,
2026-06-02,아메리카노,15,3500,매장,
2026-06-03,아메리카노,16,3500,매장,재고 확인
2026-06-04,허브티,9,4500,배달,
2026-06-05,크루아상,20,3800,매장,
2026-06-06,아이스 아메리카노,25,4000,매장,주말 방문
2026-06-07,아이스 아메리카노,22,4000,매장,
2026-06-08,카페라테,12,5000,배달,
2026-06-09,아메리카노,15,3500,매장,
2026-06-10,아메리카노,16,3500,매장,재고 확인
2026-06-11,허브티,9,4500,배달,
2026-06-12,크루아상,20,3800,매장,
2026-06-13,아이스 아메리카노,25,4000,매장,주말 방문
2026-06-14,아이스 아메리카노,22,4000,매장,
