order_date,product,quantity,revenue,channel,note
2026-05-04,텀블러,8,96000,자사몰,
2026-05-05,노트,15,75000,자사몰,
2026-05-06,스티커,25,50000,자사몰,재고 확인
2026-05-07,텀블러,12,144000,자사몰,
2026-05-08,선물 세트,18,270000,자사몰,주말 전
2026-05-09,선물 세트,30,450000,마켓플레이스,
2026-05-10,선물 세트,26,390000,마켓플레이스,
2026-05-11,텀블러,8,96000,자사몰,
2026-05-12,노트,15,75000,자사몰,
2026-05-13,스티커,25,50000,자사몰,재고 확인
2026-05-14,텀블러,12,144000,자사몰,
2026-05-15,선물 세트,18,270000,자사몰,주말 전
2026-05-16,선물 세트,30,450000,마켓플레이스,
2026-05-17,선물 세트,26,390000,마켓플레이스,
2026-05-18,텀블러,8,96000,자사몰,
2026-05-19,노트,15,75000,자사몰,
2026-05-20,스티커,25,50000,자사몰,재고 확인
2026-05-21,텀블러,12,144000,자사몰,
2026-05-22,선물 세트,18,270000,자사몰,주말 전
2026-05-23,선물 세트,30,450000,마켓플레이스,
2026-05-24,선물 세트,26,390000,마켓플레이스,
2026-05-25,텀블러,8,96000,자사몰,
2026-05-26,노트,15,75000,자사몰,
2026-05-27,스티커,25,50000,자사몰,재고 확인
2026-05-28,텀블러,12,144000,자사몰,
2026-05-29,선물 세트,18,270000,자사몰,주말 전
2026-05-30,선물 세트,30,450000,마켓플레이스,
2026-05-31,선물 세트,26,390000,마켓플레이스,
2026-06-01,텀블러,8,96000,자사몰,
2026-06-02,노트,15,75000,자사몰,
2026-06-03,스티커,25,50000,자사몰,재고 확인
2026-06-04,텀블러,12,144000,자사몰,
2026-06-05,선물 세트,18,270000,자사몰,주말 전
2026-06-06,선물 세트,30,450000,마켓플레이스,
2026-06-07,선물 세트,26,390000,마켓플레이스,
2026-06-08,텀블러,8,96000,자사몰,
2026-06-09,노트,15,75000,자사몰,
2026-06-10,스티커,25,50000,자사몰,재고 확인
2026-06-11,텀블러,12,144000,자사몰,
2026-06-12,선물 세트,18,270000,자사몰,주말 전
2026-06-13,선물 세트,30,450000,마켓플레이스,
2026-06-14,선물 세트,26,390000,마켓플레이스,
