date,service,reserved,attended,canceled,note
2026-05-04,커트,7,5,2,
2026-05-05,염색,8,7,1,
2026-05-06,클리닉,9,8,1,상담 포함
2026-05-07,펌,8,7,1,
2026-05-08,염색,10,9,1,
2026-05-09,커트,12,10,2,주말 혼잡
2026-05-10,클리닉,6,6,0,
2026-05-11,커트,7,5,2,
2026-05-12,염색,8,7,1,
2026-05-13,클리닉,9,8,1,상담 포함
2026-05-14,펌,8,7,1,
2026-05-15,염색,10,9,1,
2026-05-16,커트,12,10,2,주말 혼잡
2026-05-17,클리닉,6,6,0,
2026-05-18,커트,7,5,2,
2026-05-19,염색,8,7,1,
2026-05-20,클리닉,9,8,1,상담 포함
2026-05-21,펌,8,7,1,
2026-05-22,염색,10,9,1,
2026-05-23,커트,12,10,2,주말 혼잡
2026-05-24,클리닉,6,6,0,
2026-05-25,커트,7,5,2,
2026-05-26,염색,8,7,1,
2026-05-27,클리닉,9,8,1,상담 포함
2026-05-28,펌,8,7,1,
2026-05-29,염색,10,9,1,
2026-05-30,커트,12,10,2,주말 혼잡
2026-05-31,클리닉,6,6,0,
2026-06-01,커트,7,5,2,
2026-06-02,염색,8,7,1,
2026-06-03,클리닉,9,8,1,상담 포함
2026-06-04,펌,8,7,1,
2026-06-05,염색,10,9,1,
2026-06-06,커트,12,10,2,주말 혼잡
2026-06-07,클리닉,6,6,0,
2026-06-08,커트,7,5,2,
2026-06-09,염색,8,7,1,
2026-06-10,클리닉,9,8,1,상담 포함
2026-06-11,펌,8,7,1,
2026-06-12,염색,10,9,1,
2026-06-13,커트,12,10,2,주말 혼잡
2026-06-14,클리닉,6,6,0,
